,LGA,LGA id,Area,2019 population,2020 population
0,ALPINE,20110,4788.2,12812,12973
1,ARARAT,20260,4211.1,11844,11965
2,BALLARAT,20570,739.0,109504,111361
3,BANYULE,20660,62.5,131640,131940
4,BASS COAST,20740,865.8,36315,37445
5,BAW BAW,20830,4027.6,53394,54884
6,BAYSIDE,20910,37.2,106856,107541
7,BENALLA,21010,2352.6,14034,14137
8,BOROONDARA,21110,60.2,183197,183023
9,BRIMBANK,21180,123.4,209568,208247
10,BULOKE,21270,8000.4,6123,6101
11,CAMPASPE,21370,4518.9,37615,37675
12,CARDINIA,21450,1282.6,112179,116193
13,CASEY,21610,409.4,353962,364600
14,CENTRAL GOLDFIELDS,21670,1532.8,13182,13092
15,COLAC OTWAY,21750,3437.5,21562,21662
16,CORANGAMITE,21830,4407.5,16017,15929
17,DAREBIN,21890,53.5,164224,166430
18,EAST GIPPSLAND,22110,20940.2,47308,47725
19,FRANKSTON,22170,129.6,142645,143338
20,GANNAWARRA,22250,3735.3,10469,10400
21,GLEN EIRA,22310,38.7,156535,158216
22,GLENELG,22410,6218.6,19671,19621
23,GOLDEN PLAINS,22490,2703.4,23722,24249
24,GREATER BENDIGO,22620,3000.0,118091,119980
25,GREATER DANDENONG,22670,129.5,168261,168362
26,GREATER GEELONG,22750,1248.0,258938,264866
27,GREATER SHEPPARTON,22830,2421.9,66501,67070
28,HEPBURN,22910,1473.0,15973,16157
29,HINDMARSH,22980,7524.2,5586,5592
30,HOBSONS BAY,23110,64.2,97765,98189
31,HORSHAM,23190,4266.8,19920,20018
32,HUME,23270,503.9,233545,241188
33,INDIGO,23350,2040.1,16699,16885
34,KINGSTON,23430,91.4,165804,167293
35,KNOX,23670,113.9,164553,165147
36,LATROBE,23810,1425.6,75553,75915
37,LODDON,23940,6696.4,7502,7473
38,MACEDON RANGES,24130,1748.3,50230,50971
39,MANNINGHAM,24210,113.3,127585,128929
40,MANSFIELD,24250,3843.9,9175,9474
41,MARIBYRNONG,24330,31.2,93482,94982
42,MAROONDAH,24410,61.4,118569,119401
43,MELBOURNE,24600,37.4,178994,183756
44,MELTON,24650,527.5,164936,172500
45,MILDURA,24780,22082.5,55779,55937
46,MITCHELL,24850,2862.1,46087,47647
47,MOIRA,24900,4046.4,29920,30018
48,MONASH,24970,81.5,202896,204936
49,MOONEE VALLEY,25060,43.1,130313,131753
50,MOORABOOL,25150,2110.6,35051,36013
51,MORELAND,25250,51.0,185811,188762
52,MORNINGTON PENINSULA,25340,724.2,167619,168862
53,MOUNT ALEXANDER,25430,1529.6,19751,20001
54,MOYNE,25490,5481.7,16952,17027
55,MURRINDINDI,25620,3879.8,14568,14661
56,NILLUMBIK,25710,432.3,65099,65219
57,NORTHERN GRAMPIANS,25810,5729.9,11401,11403
58,PORT PHILLIP,25900,20.7,115620,116476
59,PYRENEES,25990,3434.6,7470,7555
60,QUEENSCLIFFE,26080,8.6,2939,3008
61,SOUTH GIPPSLAND,26170,3296.3,29910,30248
62,SOUTHERN GRAMPIANS,26260,6654.0,16098,16134
63,STONNINGTON,26350,25.7,117776,118614
64,STRATHBOGIE,26430,3303.3,10778,10992
65,SURF COAST,26490,1552.9,33457,34771
66,SWAN HILL,26610,6115.3,20650,20534
67,TOWONG,26670,6674.9,6039,6102
68,WANGARATTA,26700,3645.1,29184,29197
69,WARRNAMBOOL,26730,120.9,35181,35533
70,WELLINGTON,26810,10817.3,44378,44770
71,WEST WIMMERA,26890,9108.2,3839,3810
72,WHITEHORSE,26980,64.3,178779,180735
73,WHITTLESEA,27070,489.7,230297,236539
74,WODONGA,27170,432.7,42083,42662
75,WYNDHAM,27260,542.1,270607,283294
76,YARRA,27350,19.5,101516,103125
77,YARRA RANGES,27450,2468.2,159474,159955
78,YARRIAMBIACK,27630,7325.8,6637,6588
79,UNINCORPORATED VIC,29399,283.0,881,894
