,LGA,LGA id,Crime rate per 100000
0,ALPINE,20110,47.1
1,ARARAT,20260,143.9
2,BALLARAT,20570,140.2
3,BANYULE,20660,75.7
4,BASS COAST,20740,75.5
5,BAW BAW,20830,77.8
6,BAYSIDE,20910,44.3
7,BENALLA,21010,142.6
8,BOROONDARA,21110,25.8
9,BRIMBANK,21180,126.9
10,BULOKE,21270,146.4
11,CAMPASPE,21370,95.7
12,CARDINIA,21450,72.9
13,CASEY,21610,107.3
14,CENTRAL GOLDFIELDS,21670,235.0
15,COLAC OTWAY,21750,102.2
16,CORANGAMITE,21830,37.3
17,DAREBIN,21890,98.4
18,EAST GIPPSLAND,22110,146.8
19,FRANKSTON,22170,153.3
20,GANNAWARRA,22250,104.7
21,GLEN EIRA,22310,41.3
22,GLENELG,22410,137.3
23,GOLDEN PLAINS,22490,51.3
24,GREATER BENDIGO,22620,121.3
25,GREATER DANDENONG,22670,138.4
26,GREATER GEELONG,22750,107.7
27,GREATER SHEPPARTON,22830,185.7
28,HEPBURN,22910,69.3
29,HINDMARSH,22980,232.7
30,HOBSONS BAY,23110,82.5
31,HORSHAM,23190,140.7
32,HUME,23270,127.7
33,INDIGO,23350,36.0
34,KINGSTON,23430,64.5
35,KNOX,23670,94.1
36,LATROBE,23810,246.7
37,LODDON,23940,53.3
38,MACEDON RANGES,24130,68.3
39,MANNINGHAM,24210,38.7
40,MANSFIELD,24250,99.3
41,MARIBYRNONG,24330,108.1
42,MAROONDAH,24410,95.7
43,MELBOURNE,24600,113.8
44,MELTON,24650,128.3
45,MILDURA,24780,215.8
46,MITCHELL,24850,203.1
47,MOIRA,24900,140.7
48,MONASH,24970,66.2
49,MOONEE VALLEY,25060,66.7
50,MOORABOOL,25150,101.0
51,MORELAND,25250,75.3
52,MORNINGTON PENINSULA,25340,104.4
53,MOUNT ALEXANDER,25430,51.0
54,MOYNE,25490,41.3
55,MURRINDINDI,25620,172.4
56,NILLUMBIK,25710,35.4
57,NORTHERN GRAMPIANS,25810,148.9
58,PORT PHILLIP,25900,96.2
59,PYRENEES,25990,94.1
60,QUEENSCLIFFE,26080,0.0
61,SOUTH GIPPSLAND,26170,97.5
62,SOUTHERN GRAMPIANS,26260,86.9
63,STONNINGTON,26350,49.7
64,STRATHBOGIE,26430,56.1
65,SURF COAST,26490,70.0
66,SWAN HILL,26610,202.8
67,TOWONG,26670,66.1
68,WANGARATTA,26700,106.5
69,WARRNAMBOOL,26730,125.7
70,WELLINGTON,26810,126.7
71,WEST WIMMERA,26890,52.2
72,WHITEHORSE,26980,58.2
73,WHITTLESEA,27070,99.8
74,WODONGA,27170,88.5
75,WYNDHAM,27260,107.8
76,YARRA,27350,106.2
77,YARRA RANGES,27450,83.2
78,YARRIAMBIACK,27630,60.3
79,UNINCORPORATED VIC,29399,0.0
