,LGA,LGA id,Number of facilities
0,ALPINE,20110,67
1,ARARAT,20260,73
2,BALLARAT,20570,199
3,BANYULE,20660,152
4,BASS COAST,20740,92
5,BAW BAW,20830,158
6,BAYSIDE,20910,149
7,BENALLA,21010,44
8,BOROONDARA,21110,186
9,BRIMBANK,21180,146
10,BULOKE,21270,83
11,CAMPASPE,21370,150
12,CARDINIA,21450,148
13,CASEY,21610,230
14,CENTRAL GOLDFIELDS,21670,70
15,COLAC OTWAY,21750,105
16,CORANGAMITE,21830,108
17,DAREBIN,21890,126
18,EAST GIPPSLAND,22110,159
19,FRANKSTON,22170,148
20,GANNAWARRA,22250,85
21,GLEN EIRA,22310,128
22,GLENELG,22410,109
23,GOLDEN PLAINS,22490,109
24,GREATER BENDIGO,22620,238
25,GREATER DANDENONG,22670,121
26,GREATER GEELONG,22750,357
27,GREATER SHEPPARTON,22830,175
28,HEPBURN,22910,65
29,HINDMARSH,22980,49
30,HOBSONS BAY,23110,137
31,HORSHAM,23190,87
32,HUME,23270,175
33,INDIGO,23350,57
34,KINGSTON,23430,175
35,KNOX,23670,222
36,LATROBE,23810,168
37,LODDON,23940,75
38,MACEDON RANGES,24130,121
39,MANNINGHAM,24210,130
40,MANSFIELD,24250,35
41,MARIBYRNONG,24330,103
42,MAROONDAH,24410,127
43,MELBOURNE,24600,135
44,MELTON,24650,111
45,MILDURA,24780,117
46,MITCHELL,24850,97
47,MOIRA,24900,122
48,MONASH,24970,167
49,MOONEE VALLEY,25060,128
50,MOORABOOL,25150,69
51,MORELAND,25250,130
52,MORNINGTON PENINSULA,25340,223
53,MOUNT ALEXANDER,25430,89
54,MOYNE,25490,74
55,MURRINDINDI,25620,80
56,NILLUMBIK,25710,95
57,NORTHERN GRAMPIANS,25810,66
58,PORT PHILLIP,25900,77
59,PYRENEES,25990,47
60,QUEENSCLIFFE,26080,13
61,SOUTH GIPPSLAND,26170,142
62,SOUTHERN GRAMPIANS,26260,89
63,STONNINGTON,26350,114
64,STRATHBOGIE,26430,55
65,SURF COAST,26490,130
66,SWAN HILL,26610,79
67,TOWONG,26670,37
68,WANGARATTA,26700,117
69,WARRNAMBOOL,26730,97
70,WELLINGTON,26810,165
71,WEST WIMMERA,26890,49
72,WHITEHORSE,26980,154
73,WHITTLESEA,27070,137
74,WODONGA,27170,62
75,WYNDHAM,27260,146
76,YARRA,27350,133
77,YARRA RANGES,27450,198
78,YARRIAMBIACK,27630,82
79,UNINCORPORATED VIC,29399,4
