,LGA,Tally exist,Area exist,Tally planned,Area planned,Tally pureland,Area pureland
0,ALPINE,0,0.0,0,0.0,0,0.0
1,ARARAT,0,0.0,0,0.0,0,0.0
2,BALLARAT,0,0.0,0,0.0,0,0.0
3,BANYULE,129,0.00038708518000000016,0,0.0,200,0.0004632394800000002
4,BASS COAST,0,0.0,0,0.0,0,0.0
5,BAW BAW,0,0.0,0,0.0,0,0.0
6,BAYSIDE,152,0.0002948216380000001,0,0.0,173,0.00043829853799999996
7,BENALLA,0,0.0,0,0.0,0,0.0
8,BOROONDARA,128,0.0002938294099999999,0,0.0,210,0.00034962658999999983
9,BRIMBANK,82,0.00077275685,0,0.0,233,0.0008430551681069999
10,BULOKE,0,0.0,0,0.0,0,0.0
11,CAMPASPE,0,0.0,0,0.0,0,0.0
12,CARDINIA,289,0.0149203361952,0,0.0,439,0.0151572361852
13,CASEY,186,0.0016268400166539003,0,0.0,1393,0.002150234803913901
14,CENTRAL GOLDFIELDS,0,0.0,0,0.0,0,0.0
15,COLAC OTWAY,0,0.0,0,0.0,0,0.0
16,CORANGAMITE,0,0.0,0,0.0,0,0.0
17,DAREBIN,85,0.00031924898000000015,0,0.0,127,0.00042376631000000034
18,EAST GIPPSLAND,0,0.0,0,0.0,0,0.0
19,FRANKSTON,214,0.0013419657839999996,0,0.0,458,0.001437046331
20,GANNAWARRA,0,0.0,0,0.0,0,0.0
21,GLEN EIRA,99,0.00018178802999999996,0,0.0,116,0.00024018240000000003
22,GLENELG,0,0.0,0,0.0,0,0.0
23,GOLDEN PLAINS,0,0.0,0,0.0,0,0.0
24,GREATER BENDIGO,0,0.0,0,0.0,0,0.0
25,GREATER DANDENONG,75,0.00042696334499999996,0,0.0,224,0.0005041275177999999
26,GREATER GEELONG,0,0.0,0,0.0,0,0.0
27,GREATER SHEPPARTON,0,0.0,0,0.0,0,0.0
28,HEPBURN,0,0.0,0,0.0,0,0.0
29,HINDMARSH,0,0.0,0,0.0,0,0.0
30,HOBSONS BAY,73,0.0003563258444999999,0,0.0,156,0.00041093483450000003
31,HORSHAM,0,0.0,0,0.0,0,0.0
32,HUME,117,0.0006727049000000002,1,3.27e-06,373,0.0009504793600000002
33,INDIGO,0,0.0,0,0.0,0,0.0
34,KINGSTON,149,0.0008074629699999999,0,0.0,283,0.0008596848099999999
35,KNOX,123,0.00035698505499999993,0,0.0,527,0.0007301626350000005
36,LATROBE,0,0.0,0,0.0,0,0.0
37,LODDON,0,0.0,0,0.0,0,0.0
38,MACEDON RANGES,0,0.0,0,0.0,0,0.0
39,MANNINGHAM,140,0.0008956860999999998,0,0.0,455,0.0009853080077999999
40,MANSFIELD,0,0.0,0,0.0,0,0.0
41,MARIBYRNONG,64,0.00014010560000000003,0,0.0,107,0.0001496844
42,MAROONDAH,80,0.00039124569999999994,0,0.0,314,0.00048802637399999977
43,MELBOURNE,119,0.00011809149000000001,0,0.0,313,0.00029682802100000004
44,MELTON,78,0.0017016995399999997,0,0.0,274,0.001878337796
45,MILDURA,0,0.0,0,0.0,0,0.0
46,MITCHELL,16,0.00023448841999999996,0,0.0,47,0.0003721950199999999
47,MOIRA,0,0.0,0,0.0,0,0.0
48,MONASH,95,0.00041740210000000013,0,0.0,204,0.0005051864640000002
49,MOONEE VALLEY,87,0.00022317149999999996,0,0.0,165,0.00024819788000000003
50,MOORABOOL,0,0.0,0,0.0,0,0.0
51,MORELAND,77,0.0002037996,0,0.0,120,0.00022369750000000003
52,MORNINGTON PENINSULA,389,0.006757469850000002,0,0.0,756,0.007240308050000005
53,MOUNT ALEXANDER,0,0.0,0,0.0,0,0.0
54,MOYNE,0,0.0,0,0.0,0,0.0
55,MURRINDINDI,0,0.0,0,0.0,0,0.0
56,NILLUMBIK,187,0.007149453749999998,0,0.0,339,0.007295124357999997
57,NORTHERN GRAMPIANS,0,0.0,0,0.0,0,0.0
58,PORT PHILLIP,86,0.0001744268,0,0.0,104,0.00023929920000000004
59,PYRENEES,0,0.0,0,0.0,0,0.0
60,QUEENSCLIFFE,0,0.0,0,0.0,0,0.0
61,SOUTH GIPPSLAND,0,0.0,0,0.0,0,0.0
62,SOUTHERN GRAMPIANS,0,0.0,0,0.0,0,0.0
63,STONNINGTON,26,6.969280000000001e-05,0,0.0,65,0.00011372547000000002
64,STRATHBOGIE,0,0.0,0,0.0,0,0.0
65,SURF COAST,0,0.0,0,0.0,0,0.0
66,SWAN HILL,0,0.0,0,0.0,0,0.0
67,TOWONG,0,0.0,0,0.0,0,0.0
68,WANGARATTA,0,0.0,0,0.0,0,0.0
69,WARRNAMBOOL,0,0.0,0,0.0,0,0.0
70,WELLINGTON,0,0.0,0,0.0,0,0.0
71,WEST WIMMERA,0,0.0,0,0.0,0,0.0
72,WHITEHORSE,102,0.00020227499999999997,0,0.0,156,0.00028865993
73,WHITTLESEA,125,0.004984460610000002,1,4.07e-06,587,0.005303625250000002
74,WODONGA,0,0.0,0,0.0,0,0.0
75,WYNDHAM,84,0.0005329330899999999,5,0.011648638000000001,412,0.0006054649898999999
76,YARRA,43,0.00015127710000000002,0,0.0,50,0.0002118122
77,YARRA RANGES,878,0.08248348744199999,0,0.0,1124,0.08261536449619998
78,YARRIAMBIACK,0,0.0,0,0.0,0,0.0
79,UNINCORPORATED VIC,0,0.0,0,0.0,0,0.0
